LIN,CODIGO,RAMO,NOM_ART,TAM,PRES,UNIDAD,CCJ_CON,CCJ_SIN,CU_CON,CU_SIN,PREV_CON,PREV_SIN,FECH_AN,FECH_AC,IVA,GAN,EXIS,UBICA,STK,PROV,SI
DUL,7501073411647,,CHOCOLATE TRES CORONAS C/20,,20,PZA,0.00,44.50,0.00,2.23,0.00,3.00,20/01/2010,20/01/2010,0,34.8,-33,,0,F V,
,7501040090028,,YOPLAIT 1 K NATURAL,1 K,1,PZA,0.00,21.50,0.00,21.50,0.00,27.00,20/04/2010,20/04/2010,0,25.6,-107,,0,FUD,
LAC,7501040091612,CREMA,CREMA YOPLAIT 440 ML,440 ML,1,PZA,11.04,12.70,11.04,12.70,13.58,16.00,15/12/2010,15/12/2010,0,26.0,-407,,0,FUD,
PAP,602760000056,,BLOCK 80  H T/C RALLA,T/C,5,PZA,51.30,44.61,10.26,8.92,14.00,12.17,11/04/2008,11/04/2008,16,36.5,6,,1,CUAHU,
PAP,7501017340798,,BLOCK DIB C/AGUJETA,,6,PZA,273.42,237.76,45.57,39.63,58.00,50.43,18/11/2004,13/11/2007,16,27.3,5,,0,CUAHU,
PAP,0,,PAPEL CAPLE T/O,T/O,25,PZA,24.36,21.00,0.97,0.84,1.50,1.29,11/03/2011,11/03/2011,16,53.9,0,,0,D F,
ABA,7501001164355,,PAMPERS BASICO MED C/14,MED,6,PTE,118.00,102.61,19.67,17.10,23.50,20.44,04/06/2007,04/06/2007,16,19.5,8,,0,GARIS,
ABA,7501001164362,,PAMPERS BASICO GDE C/12,GDE,6,PTE,118.20,102.78,19.70,17.13,23.80,20.69,24/02/2007,28/08/2008,16,20.8,12,,0,GARIS,
ABA,7501025431020,,FLASH 500 ML LAVANDA,500,24,PZA,116.60,101.39,4.86,4.22,5.90,5.13,,22/08/2004,16,21.4,-19,,0,GARIS,
ABA,0,SOPA,SOPA MODERNA CAJA C/20 PQT,,1,CAJA,0.00,62.00,0.00,62.00,0.00,70.00,16/03/2011,16/03/2011,0,12.9,0,,0,GARIS,
DES,7502209310193,PLATO,PLATO UNICL 9-D LEON C/D,9D,10,PQT,82.00,70.69,8.20,7.07,10.50,9.05,09/02/2011,09/02/2011,16,28.0,25,,0,GEMSA,
JAR,0,PINZAS,PINZAS P/HIELO,,1,PQT,1.65,1.43,1.65,1.43,2.50,2.17,,29/12/2008,16,51.5,6,,0,GARIS,
ABA,33,,SOPA PASTILARA 200 G,200 G,20,PTE,0.00,46.00,0.00,2.30,0.00,2.80,24/01/2011,24/01/2011,0,21.7,-390,,0,GARIS,
,659190000231,,RICALETA CHAMOY 25/10G PZA,,25,PZA,0.00,31.80,0.00,1.27,0.00,1.70,25/11/2010,25/11/2010,0,33.6,0,,0,GARIS,
ABA,0,,GANCHO ROPA CHICO,CH,1,PZA,12.00,10.43,12.00,10.43,16.00,13.91,11/06/2009,11/06/2009,16,33.3,0,,0,GARIS,
VIN,7502214400056,TEQUILA,TEQUI COMPADRE 750 ML,750 ML,1,BOTELLA,44.99,38.78,44.99,38.78,55.00,47.41,06/04/2011,06/04/2011,16,22.2,-116,,0,GARIS,
ABA,7501007829609,MACARELA,MACARELA CALMEX 425 G,425 G,24,LATA,0.00,204.50,0.00,8.52,0.00,10.50,15/09/2004,15/09/2004,0,23.2,-34,,0,GARIS,
ABA,7502012640739,VELADORA,VELAD S/FELIPE 1/2 SEMANA,MED SEM,20,PZA,199.50,171.98,9.98,8.60,12.00,10.34,15/02/2011,15/02/2011,16,20.3,-177,,0,GARIS,
,7501040090080,,YOPLAIT 1 K FRESA,1 K,1,PZA,0.00,21.50,0.00,21.50,0.00,27.00,05/10/2010,05/10/2010,0,25.6,-79,,0,FUD,
REF,0,,COCA COLA 8 OZ VIDRIO,,24,PZA,83.00,72.17,3.46,3.01,4.00,3.48,18/09/2009,18/09/2009,16,15.7,-15,,0,COCA,
ABA,7501102212511,VELADORA,FAROLITO VELAD N0 5,5,40,PZA,352.50,303.88,8.81,7.60,10.50,9.05,02/04/2011,02/04/2011,16,19.1,-192,,0,GARIS,
ABA,86154051396,REFRESCO,SANGRI SEÑORIAL 600 ML,600 ML,24,PZA,144.00,124.14,6.00,5.17,7.00,6.03,23/08/2010,23/08/2010,16,16.7,-248,,0,PEPSI,
ABA,7502012641156,,VELAD S/FELIPE DIAMANTE,,6,PZA,234.00,201.72,39.00,33.62,47.00,40.51,06/04/2011,06/04/2011,16,20.5,-59,,0,GARIS,
ABA,59,FRITURAS,FRITURA PALMEX M/RUEDA,500 G,40,PTE,0.00,275.00,0.00,6.88,0.00,9.00,27/01/2011,27/01/2011,0,30.9,-89,,0,GARIS,
ABA,60,FRITURAS,FRITURA PALMEX MINI RUEDA,1 K,20,K,0.00,248.50,0.00,12.43,0.00,16.00,02/12/2010,02/12/2010,0,28.8,-55,,0,GARIS,
ABA,7501055302819,REFRESCO,FRESCA 1 L DES,1 L,12,BOTELLA,83.50,72.61,6.96,6.05,8.00,6.96,08/09/2009,08/09/2009,16,15.0,-1744,,0,COCA,
ABA,7501055302840,REFRESCO,FANTA 1 L DES,1 L,12,BOTELLA,83.50,71.98,6.96,6.00,8.00,6.90,09/03/2010,09/03/2010,16,15.0,-1649,,0,COCA,
ABA,7501055305636,REFRESCO,SPRITE 1 L,1 L,12,BOTELLA,83.50,72.61,6.96,6.05,8.00,6.96,08/09/2009,08/09/2009,16,15.0,-1735,,0,COCA,
ABA,8410100002002,,LECHERA SIRV.FACIL 450 ML,450,18,PZA,385.25,388.00,21.40,21.56,26.20,26.00,18/02/2009,07/07/2010,0,20.6,4,,0,GARIS,
ABA,789742895050,,NUTELLA FERRERO 350 GS FCO,350 G,1,PZA,0.00,34.80,0.00,34.80,0.00,42.50,23/03/2011,23/03/2011,0,22.1,-26,,0,GARIS,
MER,0,,BROCHE GANCHO N 2,N 2,144,PZA,31.00,26.96,0.22,0.19,0.50,0.43,26/10/2009,26/10/2009,16,132.3,144,,2,MARBE,
MER,0,,BROCHE PRESION N 00,N 0,144,PZA,20.00,17.39,0.14,0.12,0.50,0.43,08/10/2004,26/10/2009,16,260.0,0,,0,MARBE,
MER,0,,CINTA METRICA P/CORTE,1.5 M,12,PZA,63.00,54.31,5.25,4.53,8.50,7.33,03/08/2010,03/08/2010,16,61.9,12,,2,MARBE,
MER,0,,CUERDA NAYLO P/GUITARRA NO 1,N 1,12,PZA,65.00,56.03,5.42,4.67,7.50,6.47,08/03/2010,08/03/2010,16,38.5,0,,0,MBZ,
MER,0,,CUERDA NAYLO P/GUITARRA NO 2,N 2,12,PZA,75.50,65.09,6.29,5.42,10.00,8.62,08/03/2010,08/03/2010,16,58.9,0,,0,MARBE,
MER,0,,CUERDA ACERO P/GUITARRA NO 3,N 3,12,PZA,106.00,91.38,8.83,7.61,13.00,11.21,08/03/2010,08/03/2010,16,47.2,0,,0,MARBE,
MER,0,,CUERDA ACERO P/GUITARRA NO 6,N 6,10,PZA,110.00,94.83,11.00,9.48,16.00,13.79,08/03/2010,08/03/2010,16,45.5,10,,2,MARBE,
FER,0,,CADENA P/PERR0 3.5 M 1657,1657,12,PZA,152.40,131.38,12.70,10.95,20.00,17.24,02/07/2010,07/01/2011,16,57.5,4,,2,MARCU,
FER,0,,CADENA P/PERRO 4 M 1658,1658,12,PZA,164.50,141.81,13.71,11.82,25.00,21.55,02/07/2010,07/01/2011,16,82.4,6,,2,MARCU,
FER,0,,CLAVIJA IUSA MOVIL AE-420,420,1,PZA,6.50,5.60,6.50,5.60,9.50,8.19,07/01/2011,07/01/2011,16,46.2,25,,0,EL 45,
MER,0,,AGUJA MANO 3 X 1.00,N 3,10,PZA,12.00,10.34,1.20,1.03,5.00,4.31,10/03/2011,10/03/2011,16,316.7,-2,,0,MABEZ,
MER,0,,SILICON BARRITA DELGADA,CH,99,PZA,50.00,43.10,0.51,0.44,1.00,0.86,13/10/2010,13/10/2010,16,98.0,0,,0,DF,
MER,0,,LISTON POPOTILLO NO 1,N 1,25,MT,36.00,31.30,1.44,1.25,2.20,1.91,22/10/2007,21/09/2008,16,52.8,25,,2,MARBE,
TEL,7503000033045,,TARJETA AMIGO 100,100,1,PZA,0.00,92.00,0.00,92.00,0.00,100.00,01/05/2010,01/05/2010,0,8.7,12,,1,TELEF,
TEL,7501882600003,,TARJETA VIVA 100,,1,PZA,0.00,94.00,0.00,94.00,0.00,100.00,13/02/2006,16/03/2009,0,6.4,0,,0,,
PER,0,,TIJERAS CHINA CH,CH,12,PZA,18.00,15.65,1.50,1.30,3.00,2.61,,11/10/2004,16,100.0,0,,0,D F,
PER,0,,ENCHINADOR PRINCES,,1,PZA,8.50,7.39,8.50,7.39,12.50,10.87,02/02/2007,02/02/2007,16,47.1,0,,0,D F,
PER,716189315087,,SOMBRAS P/OJOS BR 315-16,315-16,6,PZA,48.00,41.74,8.00,6.96,15.00,13.04,05/01/2008,05/01/2008,16,87.5,0,,0,D F,
PER,0,,LAPIZ METRICO ECONOMICO,2,100,PZA,65.00,56.03,0.65,0.56,1.00,0.86,05/02/2011,05/02/2011,16,53.8,0,,0,D F,
PER,0,,TIJERAS CURTIS P/OJOS CH,CH,1,PZA,5.00,4.35,5.00,4.35,7.50,6.52,17/04/2006,17/04/2006,16,50.0,0,,0,D F,
PER,0,,SOMBRAS P/OJOS BR 372,372,1,PZA,64.00,55.65,64.00,55.65,96.00,83.48,10/08/2005,10/08/2005,16,50.0,0,,0,D F,
PER,0,,BARNIS P/UÑAS FIRME,,1,PZA,5.00,4.31,5.00,4.31,8.00,6.90,25/09/2010,25/09/2010,16,60.0,0,,0,D F,
PER,0,,PESTAÑA P/OJOS FASHION,,1,PZA,11.50,10.00,11.50,10.00,20.00,17.39,21/05/2005,21/05/2005,16,73.9,0,,0,D F,
PER,0,,LIMA NEGRA P/UÑAS,,1,PZA,3.50,3.04,3.50,3.04,5.00,4.35,21/05/2005,26/10/2008,16,42.9,0,,0,D F,
PER,0,,TOLLA T-TAIO P/BAÑO,,1,PZA,16.00,13.91,16.00,13.91,20.00,17.39,17/04/2006,07/06/2006,16,25.0,0,,0,GARIS,
PER,0,,TIJERA ROJA P/CUTICULA,,1,PZA,8.50,7.39,8.50,7.39,12.50,10.87,21/05/2005,26/10/2008,16,47.1,0,,0,D F,
PAP,767982000236,,GRAPAS PILOT N 400 T/CHICO,,1,PZA,6.50,5.60,6.50,5.60,9.50,8.19,24/03/2010,28/07/2010,16,46.2,6,,0,D F,
,7501011102828,,SABRITAS LAIGHT 117 G,117 G,1,PZA,0.00,9.87,0.00,9.87,0.00,12.00,,15/10/2004,0,21.6,-4,,0,SABRI,
PAP,0,,CELOFAN PELICULA TRANSP,,100,PZA,141.00,121.55,1.41,1.22,2.00,1.72,09/08/2010,09/08/2010,16,41.8,0,,0,D F,
LAC,7501055900336,CREMA COME,CREMA ALPURA 450 ML,450 ML,24,PZA,0.00,352.80,0.00,14.70,0.00,18.00,05/01/2011,05/01/2011,0,22.4,-128,,2,ALPUR,
,7501198350708,,CRUSH 300 ML UVA,300 ML,24,PZA,72.00,62.61,3.00,2.61,3.50,3.04,,21/10/2004,16,16.7,-6,,0,,
,7501198350630,,CRUSH 300 ML NARANJA,300 ML,24,PZA,72.00,62.61,3.00,2.61,3.50,3.04,,21/10/2004,16,16.7,-4,,0,,
,7501198351040,,CRUSH 300 ML LIMON,300 ML,24,PZA,72.00,62.61,3.00,2.61,3.50,3.04,,21/10/2004,16,16.7,-3,,0,,
ABA,7501035909229,,PALMOLIVE JAB 90GR CLASICO,90 G,150,PZA,585.00,504.31,3.90,3.36,5.00,4.31,31/08/2010,31/08/2010,16,28.2,-416,,5,GARIS,
FAR,7055,,DESENFRIOL D 240/2 TAB,GDE,12,PAR,344.89,27.80,1.44,2.32,2.00,3.00,26/01/2011,26/01/2011,0,29.5,-2,,0,FARMA,
FAR,0,,GOLBA VITROLERO SURT 120 P,,120,PZA,295.00,254.31,2.46,2.12,3.50,3.02,15/12/2010,15/12/2010,16,42.4,0,,0,GARIS,
,7501073836563,,PEÑAFIEL 600 ML LIMON,600,24,PZA,125.00,108.70,5.21,4.53,6.50,5.65,28/12/2009,28/12/2009,16,24.8,46,,0,PEÑAF,
VIN,80432403730,COGNAC,MARTELL VSOP MEDAILLON 700 ML,700 ML,1,PZA,549.00,477.39,549.00,477.39,651.00,566.09,18/12/2009,18/12/2009,16,18.6,2,,0,GALLO,
ABA,7501000913343,,GERBER ET 2 100 G PERAS,100 G,1,PZA,0.00,5.56,0.00,5.56,0.00,6.80,23/03/2011,23/03/2011,0,22.3,-124,,0,GARIS,
PAP,602760000285,,BLOCK REMISION CH,CH,50,PZA,128.68,111.90,2.57,2.24,3.60,3.13,02/02/2009,02/02/2009,16,40.0,0,,0,D F,
ABA,19836110029,REFRESCO,BOING TRIANGULO 250 ML MANGOS,250 ML,24,PZA,56.00,48.70,2.33,2.03,3.00,2.61,20/01/2009,20/01/2009,16,28.6,-143,,0,,
,7501023104612,,SCOTCH BRITE TELA MULTIUSOS,,1,,10.43,9.07,10.43,9.07,12.00,10.43,,11/11/2004,16,15.1,0,,0,,
ABA,7501055302826,REFRESCO,MANZANA LIFT 1 L,1 L,12,PZA,83.50,72.61,6.96,6.05,8.00,6.96,08/09/2009,08/09/2009,16,15.0,-263,,0,COCA,
ABA,7501041300225,REFRESCO,SIDRAL MUNDET 2 L,2 L,8,PZA,115.00,99.14,14.38,12.39,17.00,14.66,28/03/2011,28/03/2011,16,18.3,-320,,0,SIDRA,
DUL,7501000269006,BARCEL,CHIPS 170 G ADOBADA,170 G,1,BOLSA,0.00,15.00,0.00,15.00,0.00,18.00,23/07/2005,23/07/2005,0,20.0,-3,,0,,
DUL,7501000633241,GAMESA,GAMESA VUALA 84 GR CAJETA,84 G,1,PQT,0.00,4.17,0.00,4.17,0.00,5.00,11/08/2006,11/08/2006,0,19.9,-59,,0,GAMES,
DUL,7501000628933,GAMESA,GAMESA VUALA 84 GR CHOCOLA,84 G,1,PQT,0.00,4.17,0.00,4.17,0.00,5.00,11/08/2006,11/08/2006,0,19.9,-90,,0,GAMES,
DUL,7501000656431,GAMESA,GAMESA SENZO 66 GR PIÑA,66 G,1,PZA,0.00,3.50,0.00,3.50,0.00,4.00,09/01/2009,09/01/2009,0,14.3,-15,,0,GAMES,
,7501000652266,,DELICIAS GAMESA 280 G VAIN,280 G,1,PZA,0.00,8.30,0.00,8.30,0.00,10.00,18/03/2008,18/03/2008,0,20.5,-3,,0,MARI,
PAP,0,,SOBRE BOLSA T/ESQUELA A,ESQUELA,1,PZA,1.30,1.12,1.30,1.12,2.00,1.72,04/03/2011,04/03/2011,16,53.8,0,,0,D.F,
PAP,0,,PAPEL CEBOLLA C/25 PZA,,25,PZA,17.50,15.22,0.70,0.61,1.00,0.87,01/08/2009,01/08/2009,16,42.9,0,,0,CUAH,
,0,,ESFERA NO 2 NAVIDAD,NO 2,10,PZA,145.00,126.09,14.50,12.61,20.00,17.39,24/11/2007,24/11/2007,16,37.9,0,,0,VENAD,
,0,,ESFERA NO 1 NAVIDAD,N 1,15,PZA,185.00,160.87,12.33,10.72,17.00,14.78,24/11/2007,24/11/2007,16,37.8,0,,0,VENAD,
,0,,ESFERA NO 0 NAVIDAD,N 0,10,PZA,85.00,73.91,8.50,7.39,12.00,10.43,24/11/2007,24/11/2007,16,41.2,0,,0,VENAD,
,0,,FRUTA NAVIDEÑA SECA 1 K,,10,KILO,0.00,440.00,0.00,44.00,0.00,60.00,09/12/2010,09/12/2010,0,36.4,0,,0,CASER,
MER,0,,LISTON MODALISTON N0 2,NO 2,50,MT,30.00,25.86,0.60,0.52,1.50,1.29,27/02/2010,03/08/2010,16,150.0,0,,0,MBZ,
SEM,55,FRIJOL,FRIJOL PERUANO 1 K,1 K,1,K,0.00,18.00,0.00,18.00,0.00,22.00,19/03/2011,19/03/2011,0,22.2,-68,,0,AMBRO,
,0,,LUCES DE BENGALA 24/50,,50,PZA,38.50,33.48,0.77,0.67,1.50,1.30,10/12/2009,10/12/2009,16,94.8,-9,,0,GEMSA,
MER,0,,ELASTICO TUBULAR ROLLO C/100,,100,PZA,50.86,43.84,0.51,0.44,1.00,0.86,27/09/2010,27/09/2010,16,96.6,100,,0,VENAD,
ABA,7501001169374,,ALWAYS F/A C/A 10/8 PZ,,12,PTE,181.00,156.03,15.08,13.00,19.00,16.38,17/06/2010,17/06/2010,16,26.0,-31,,0,GARIS,
ABA,7590002046227,,NATURELLA PANTYPROT C/26 P,18/26,18,PTE,215.00,185.34,11.94,10.30,15.00,12.93,19/11/2010,19/11/2010,16,25.6,-52,,0,GARIS,
ABA,718644000026,,GRASA OSO LIQ 60 ML NEGRO,60 ML,10,PZA,80.20,69.14,8.02,6.91,10.00,8.62,15/01/2011,15/01/2011,16,24.7,-12,,0,GARIS,
ABA,7501032925420,,RAID PROT RASTREROS 180 G,180 G,1,PZA,26.00,22.61,26.00,22.61,32.00,27.83,31/10/2006,31/10/2006,16,23.1,11,,0,GARIS,
,7501059315051,,GEL ALBERTO VO5 200G EXTRAFIRME,,12,,120.00,104.35,10.00,8.70,13.00,11.30,22/04/2009,22/04/2009,16,30.0,-6,,0,GARIS,
MER,0,,SEGURO DORADO X PTE DE 100,100 P,12,PTE,68.50,59.05,5.71,4.92,8.00,6.89,09/02/2011,09/02/2011,16,40.1,0,,0,MARBE,
MER,0,,LIMPIAPIPAS CHENILLE METAL,,100,PZ,22.00,19.13,0.22,0.19,0.50,0.43,19/12/2008,16/07/2009,16,127.3,-51,,0,MARBE,
MER,0,,BROCHE P/CORTINA C/100 PZA,,1,PTE,95.00,82.61,95.00,82.61,5.00,4.35,,07/12/2004,16,-94.7,0,,0,MARBE,
ABA,7501001172671,,ALWAYS C/A F/M 8/10 PZ FRESH,,8,PTE,104.50,90.09,13.06,11.26,16.00,13.79,09/04/2011,09/04/2011,16,22.5,-27,,0,GARIS,
DUL,7501011102934,SABRITAS,PAPAS 40 G (SABRITAS) LIGHT,40 G,1,BOLSA,0.00,5.00,0.00,5.00,0.00,6.00,22/01/2010,22/01/2010,0,20.0,-573,,0,SABRI,
ABA,0,,PESCADO MATAMOROS,,1,K,0.00,135.00,0.00,135.00,0.00,172.00,22/12/2010,22/12/2010,0,27.4,0,,0,CASER,
ABA,75005184,CERVEZA,CERVEZA TECATE VIDRIO 325 M DESE,325 ML,24,BOTELLA,170.00,147.83,7.08,6.16,9.00,7.83,05/04/2009,05/04/2009,16,27.1,-99,,0,MOCTE,
PER,0,,ESTUCHE DE MANICUR,,1,PZA,8.50,7.39,8.50,7.39,15.00,13.04,,20/12/2004,16,76.5,0,,0,D F,
VIN,9002490207717,,RED BULL 355 MLS,355,10,PZA,260.00,224.14,26.00,22.41,33.00,28.45,06/01/2011,06/01/2011,16,26.9,1,,0,GARIS,
ABA,7501008718223,,CUETARA RECOCO 720 GS,720 G,20,PZA,0.00,420.00,0.00,21.00,0.00,26.50,26/06/2007,22/04/2009,0,26.2,9,,0,GARIS,
ABA,7501090510385,,TE HERBAL 25 P NJO,,1,PZA,0.00,9.70,0.00,9.70,0.00,13.00,28/12/2004,11/04/2007,0,34.0,-2,,0,FV,
L,7501043706407,,ANIS MICO 1 L,1,1,L,75.20,64.83,75.20,64.83,91.00,78.45,18/12/2010,18/12/2010,16,21.0,-7,,0,GALLO,
,0,,DEEMI PASTILLAS 40/12 PZA,,40,PZA,0.00,13.60,0.00,0.34,0.00,0.50,05/05/2010,05/05/2010,0,47.1,0,,0,GARIS,
DUL,0,,PALETA DE TIRA FIESTA G 50/20,GDE,1,TIRA,0.00,3.50,0.00,3.50,0.00,4.50,,02/01/2005,0,28.6,0,,0,GARIS,
DUL,0,,PALETA CORONADO TIRA 50/20,,1,TIRA,0.00,6.10,0.00,6.10,0.00,8.50,29/11/2007,29/11/2007,0,39.3,0,,0,GARIS,
ABA,7501059212039,,COOKIE CRISP 16/360 G,360 G,1,PTE,0.00,24.00,0.00,24.00,0.00,30.00,23/12/2005,11/10/2008,0,25.0,4,,0,GARIS,
ABA,7501055327409,REFRESCO,AMEYAL 3 L DURAZ,3 L,6,BOTELLA,83.50,71.98,13.92,12.00,16.00,13.79,01/11/2010,01/11/2010,16,15.0,-109,,0,COCA,
ABA,706722310037,REFRESCO,AMEYAL 3 L KIWI,3 L,6,BOTELLA,83.50,71.98,13.92,12.00,16.00,13.79,01/11/2010,01/11/2010,16,15.0,-76,,0,COCA,
,7501000248582,,BARCEL BIG MIX 50 G,50 G,1,PTE,0.00,4.13,0.00,4.13,0.00,5.00,20/09/2009,20/09/2009,0,21.0,-142,,0,BARCE,
PAP,0,,TABLAS MATEMATICAS A/CABALLERO,,1,PZA,15.00,13.04,15.00,13.04,20.00,17.39,,12/01/2005,16,33.3,10,,2,CUAHU,
PAP,0,,BROCHE MARIPOSA GDE,GDE,1,PZA,7.00,6.09,7.00,6.09,10.00,8.70,,12/01/2005,16,42.9,0,,0,CUAHU,
PAP,7501428700242,,COJIN P-SELLO,,1,PZA,18.30,15.78,18.30,15.78,24.00,20.69,11/03/2011,11/03/2011,16,31.1,9,,2,D F,
PAP,0,,RELOJ DE CARTON CHICO,CHICO,25,PZA,72.50,62.50,2.90,2.50,4.00,3.45,27/09/2010,27/09/2010,16,37.9,20,,0,RAF,
PAP,0,,CARTULINA BRISTOL 58 K COLORES,,25,PZA,28.00,24.14,1.12,0.97,2.00,1.72,11/03/2011,11/03/2011,16,78.6,0,,0,MESON,
FER,7501063300036,,CAZAFACIL RATA GDE,GRANDE,12,PZA,472.00,406.90,39.33,33.91,49.00,42.24,18/01/2010,18/01/2010,16,24.6,-5,,0,GARIS,
BON,0,,PANTALETA 2/4/6,2/4/6,1,PZA,12.00,10.34,12.00,10.34,16.00,13.79,29/07/2010,29/07/2010,16,33.3,0,,0,ROGEL,
BON,0,,PANTALETA 3/5 TOFITO,3/5,1,PZA,10.70,9.30,10.70,9.30,14.00,12.17,24/06/2005,24/06/2005,16,30.8,0,,0,ROGEL,
BON,0,,CALCETA DEPORTIVA ALTAN,GDE,1,PZA,14.73,12.81,14.73,12.81,20.00,17.29,06/01/2006,06/01/2006,16,35.8,-4,,0,ROGEL,
BON,7509020020171,,BIKINI CAB PTE/3 CH/MED/GDE,CH/MED/G,1,PTE,44.00,37.93,44.00,37.93,57.00,49.14,19/12/2010,19/12/2010,16,29.5,0,,0,ROGEL,
FER,0,,TRANSFORMER MITZU MACHIN UHF,,1,PZA,2.50,2.17,2.50,2.17,3.50,3.04,29/08/2006,12/02/2007,16,40.0,0,,0,EL 45,
PAP,0,,TINTA P/SELLO,,1,PZA,13.28,11.45,13.28,11.45,18.00,15.52,11/03/2011,11/03/2011,16,35.5,0,,0,CUAHU,
ABA,7501058764508,DESODORAN,WIZARD 325 GR S/CAMPO,325 G,12,PZA,280.00,243.48,23.33,20.29,29.00,25.22,12/03/2009,12/03/2009,16,24.3,-22,,0,GARIS,
BON,0,,CALCETIN BANNER ADULTO DELG,GDE,12,PZA,144.00,124.14,12.00,10.34,18.00,15.52,09/03/2010,09/03/2010,16,50.0,0,,0,ROGEL,
,0,,PALETA DE ELOTE C/40 VERO,,1,PTE,0.00,23.50,0.00,23.50,0.00,30.00,04/03/2009,04/03/2009,0,27.7,0,,0,GARIS,
,0,,CONFETI MULTIC 400 G,225 G,1,PTE,11.60,10.09,11.60,10.09,16.50,14.34,21/11/2007,28/12/2007,16,42.2,0,,0,CUAUT,
PAP,23942874102,DISKETTE,DISKETTE VERBATIM CAJA C/10,10,1,CAJA,26.11,22.70,26.11,22.70,33.00,28.49,27/01/2006,27/01/2006,16,26.4,-1,,0,SAMS,
,7501055901135,,ALPURA YOGHURT 150 G MGO,150 G,1,PZA,0.00,3.15,0.00,3.15,0.00,4.00,26/09/2007,26/09/2007,0,27.0,-250,,0,ALPUR,
DES,9750435006924,TENEDOR,TENEDOR PAST GARDUÑO No 2 C/50,2,60,PTE,210.00,182.61,3.50,3.04,4.60,4.00,01/06/2006,05/10/2006,16,31.4,0,,0,GEMSA,
DUL,80052760,,KINDER BUENO CHOCOLATE 43 GR,43 G,10,PZA,0.00,93.60,0.00,9.36,0.00,12.00,29/08/2010,29/08/2010,0,28.2,-27,,0,GARIS,
,7501000167456,,BARCEL CACAHUATE GOLDEN CH/L 43G,45 G,1,PZA,0.00,4.20,0.00,4.20,0.00,5.00,26/03/2009,26/03/2009,0,19.0,-39,,0,BARCE,
,7501000161577,,BARCEL CACAHUATE GOLDEN S/L 43GR,45 G,1,PZA,0.00,4.20,0.00,4.20,0.00,5.00,26/03/2009,26/03/2009,0,19.0,-1,,0,BARCE,
ABA,75004712,,GERBER ET 3 170 G DNO,170 G,24,PZA,154.00,204.00,6.42,8.50,8.00,10.50,27/12/2009,27/12/2009,0,23.5,-20,,0,GARIS,
,7501001095222,,GALLETAS RITZ 75G,,1,,0.00,1.67,0.00,1.67,0.00,2.00,,03/02/2005,0,20.0,-23,,0,,
ABA,7501621100191,BEBIDAS,CRISTALIN 250 ML C/CH UVA,250 ML,20,BOTELLA,84.00,72.41,4.20,3.62,5.30,4.57,22/07/2010,22/07/2010,16,26.2,-158,,0,CRIST,
ABA,0,REFRESCO,MANZANITA DELI 300 ML,300 ML,24,PET,94.00,81.03,3.92,3.38,4.50,3.88,18/11/2010,18/11/2010,16,14.9,-14,,0,MANZA,
ABA,7501505630073,REFRESCO,SANGRIA CASERA 600 ML,600 ML,12,PET,61.50,53.48,5.13,4.46,6.00,5.22,17/10/2006,17/10/2006,16,17.1,-75,,0,SIDRS,
PAP,7501035100121,,MASKIN 24-50,24/50,1,PZA,16.00,13.79,16.00,13.79,22.50,19.39,28/03/2011,28/03/2011,16,40.6,0,,0,D F,
MER,0,,CONTACTEL C/10 MT 25 MM BCO,,10,M,38.00,32.76,3.80,3.28,6.00,5.17,13/10/2010,13/10/2010,16,57.9,0,,0,MARBE,
,0,,CUERDA ACERO P/GUITARRA NO 4,NO 4,12,PZA,125.00,107.76,10.42,8.98,15.00,12.93,08/03/2010,08/03/2010,16,44.0,0,,0,75019,
,0,,CUERDA ACERO P/GUITARRA NO 2,NO 2,12,PZA,85.00,73.28,7.08,6.11,10.00,8.62,08/03/2010,08/03/2010,16,41.2,0,,0,MARBE,
MER,0,,AGUJA DE CHAQUIRA 25 P,NO 12,25,PZA,5.00,4.35,0.20,0.17,0.50,0.43,18/12/2008,18/12/2008,16,150.0,0,,0,D F,
VIN,7503002089019,,VERTIGO 750 ML DEST,750,1,PZA,39.50,34.05,39.50,34.05,47.50,40.95,12/10/2010,12/10/2010,16,20.3,-37,,0,GARIS,
,0,,UÑAS DE TRIANGULO P/GUITARRA,,1,PZA,2.15,1.87,2.15,1.87,3.50,3.04,,11/02/2005,16,62.8,0,,0,MARBE,
MER,0,,PARCHES P/PANTALON COLOR,,25,PZA,46.00,39.66,1.84,1.59,3.00,2.59,30/03/2011,30/03/2011,16,63.0,0,,0,MARBE,
MER,0,,GANCHO P/TEJER 0/2/4/6/8/10/12.,,10,PZA,21.00,18.10,2.10,1.81,3.00,2.59,30/03/2011,30/03/2011,16,42.9,0,,0,MARBE,
PAP,0,,REGLA 60 CM T,60 CM,1,PZA,35.94,31.25,35.94,31.25,49.00,42.61,,12/02/2005,16,36.3,0,,0,CUAHU,
PAP,0,,SOLICITUD/EMPLEO,,1,PZA,8.50,7.33,8.50,7.33,13.00,11.21,09/12/2010,09/12/2010,16,52.9,0,,0,MATIA,
FER,0,,CALENTADOR DAYCO N 5 P/AGUA,,1,PZA,17.30,14.91,17.30,14.91,25.00,21.55,29/03/2011,29/03/2011,16,44.5,0,,0,EL 45,
